customer_id,tenant_id,customer_code,company_name,industry,account_manager,credit_terms_days,status,onboarded_at
9e73b068-b3a6-14aa-a156-a0517e0c77a8,ramco-printing,C-8905,Rift Valley Limited,Insurance,Caroline Njoroge,30,active,2016-10-13
dbc3b092-5210-ecf2-db66-87e70035347c,ramco-printing,C-7548,Mwangaza Industries,Banking,Mary Kariuki,14,active,2021-08-12
e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,ramco-printing,C-4978,Summit Holdings,Publishing,Brian Mutiso,14,active,2021-12-09
737cc2fa-89ae-f5d5-6246-8f6b3b93b36a,ramco-printing,C-3095,Pamoja Group,NGO,Alice Chebet,30,active,2020-06-17
72dd4feb-facf-13d3-79a2-1d440e62147b,ramco-printing,C-9575,Nuru Bank,Banking,Grace Njoroge,14,active,2024-07-06
cf6df40d-2ae6-3792-70c8-c21ba56cd4c9,ramco-printing,C-1713,Wema Financial Services,FMCG,Victor Chebet,14,active,2020-11-29
f4bcea1c-a9fc-85f2-a1fc-4c957ae2f877,ramco-printing,C-4961,Summit Breweries,Banking,Naomi Achieng,45,active,2024-05-12
92eba0e3-1087-a447-9bae-74f56bef94c2,ramco-printing,C-4335,Nyali Logistics,Education,Mary Wafula,30,active,2018-04-03
264f9508-8edc-52a7-5b1f-e22ec5f9d06b,ramco-printing,C-4880,Zuri Sacco,NGO,John Omondi,14,active,2022-08-24
ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,ramco-printing,C-4141,Jamii Breweries,Manufacturing,Mercy Njoroge,45,active,2023-09-17
d111925e-7504-d72d-152e-503bed7db6cc,ramco-printing,C-7812,Jua Financial Services,FMCG,Daniel Njoroge,14,active,2020-09-20
2a27a916-5c7e-b7da-75da-e841e7d303bc,ramco-printing,C-1770,Taifa Holdings,Insurance,Winnie Wanjiru,14,active,2021-07-23
216e5023-45f9-fbac-d29d-859395858d97,ramco-printing,C-7162,Zuri Pharmaceuticals,Banking,Peter Odhiambo,14,active,2023-09-26
f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,ramco-printing,C-4132,Savannah Insurance,Publishing,Kevin Chebet,14,active,2024-08-23
e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,ramco-printing,C-5574,Jua Logistics,Manufacturing,John Mwende,45,active,2020-11-28
23b9fd40-2749-b0ff-abc4-b43aae0ffd83,ramco-printing,C-4684,Jamii Industries,Telecoms,Grace Otieno,14,active,2024-08-24
1bf05a35-f976-2230-177b-77f509bb7474,ramco-printing,C-3635,Imara Logistics,Education,Joyce Omondi,30,active,2021-06-09
0cd87a05-096d-b4c7-e804-63323654b0e1,ramco-printing,C-7756,Rafiki Bank,Telecoms,Caroline Muthoni,14,active,2021-12-06
d0cafddc-2be4-913d-30a1-8954f446d827,ramco-printing,C-8847,Coastline Telecom,Manufacturing,David Wafula,30,active,2021-09-24
e1d27b19-fd81-a720-7ce6-d4558d3a7e8a,ramco-printing,C-4632,Hazina Telecom,Insurance,Caroline Barasa,30,active,2018-02-05
52b54707-0030-b7df-aa8c-0f0777fd344d,ramco-printing,C-8719,Equator Logistics,Banking,Daniel Otieno,30,active,2017-06-24
4066f493-868c-4f3d-16c6-1a9458abe20c,ramco-printing,C-9449,Acacia Africa,NGO,Grace Kamau,45,active,2019-03-15
d7c87397-488b-3eac-c17d-b4e2b56cb2b7,ramco-printing,C-8561,Highlands Sacco,Banking,Dennis Kariuki,45,active,2023-05-13
340700a7-732e-caff-e197-00b2c815e43e,ramco-printing,C-7405,Tembo Financial Services,Banking,Dennis Kiptoo,30,active,2018-04-19
e5b83da9-b827-0066-25c5-51b7ad1bab29,ramco-printing,C-5974,Acacia Sacco,Education,Samuel Kariuki,45,active,2019-09-30
c2a78948-672d-3480-815c-adaf49b3a057,ramco-printing,C-3182,Hazina Africa,Education,Dennis Kiptoo,45,active,2022-01-24
69685250-e02d-3f69-b8f3-6afa01b9357a,ramco-printing,C-1932,Pamoja Bank,Insurance,Mary Mureithi,45,active,2017-07-26
5f66bb0d-da5a-b328-4211-0288cdc4ba6f,ramco-printing,C-4008,Hazina Industries,Banking,Victor Omondi,30,active,2018-07-29
15b92953-241e-c9cb-1659-acf4af839420,ramco-printing,C-5968,Imara Foods,NGO,Victor Mwende,30,active,2024-06-10
5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ramco-printing,C-1369,Nyali Insurance,Insurance,Samuel Wanjiru,30,active,2017-04-08
d95d24b0-7124-8976-27b6-d6d527788979,ramco-printing,C-7423,Lulu Foods,Manufacturing,Naomi Wanjiru,45,active,2019-05-01
5ed7e7d8-8371-128d-9e01-df5e9d3259b2,ramco-printing,C-9988,Meridian Breweries,Education,Brian Kariuki,45,active,2018-02-06
b57b7fce-5d68-09f5-81b2-64659e8e058a,ramco-printing,C-4564,Summit Sacco,NGO,Joyce Kariuki,14,active,2022-12-02
40ce51ac-1c59-d345-c400-97e7d1a1bc8c,ramco-printing,C-8722,Jamii Bank,NGO,Dennis Mutiso,45,active,2018-01-02
a6e43db4-0e02-1dce-b316-ec6483e80d5e,ramco-printing,C-9959,Equator Limited,Publishing,Mary Chebet,30,active,2018-01-10
056acd07-b13e-29f4-fcee-2c1b453aba36,ramco-printing,C-8311,Nuru Publishers,Insurance,Caroline Muthoni,30,active,2022-03-09
85a66359-8341-c3df-1cdf-66e0599545c6,ramco-printing,C-1686,Baraka Telecom,Banking,Daniel Mureithi,45,active,2023-01-13
5824d67b-7c9b-d73a-a492-78cf9a10f5c7,ramco-printing,C-1471,Meridian Africa,Publishing,Winnie Wanjiru,14,active,2019-01-27
9851ce39-a8ef-7a3c-182e-195b8599613f,ramco-printing,C-5732,Savannah Industries,Telecoms,Daniel Achieng,45,active,2017-01-06
f698aed6-9f84-5bec-cc70-d1998377c749,ramco-printing,C-4560,Coastline Holdings,Telecoms,Victor Mwende,30,active,2024-08-04
644f0335-74ad-84e7-c2fe-e1ba6f020342,ramco-printing,C-5259,Jua Industries,Healthcare,Winnie Barasa,30,active,2025-09-05
cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,ramco-printing,C-9800,Sanaa Industries,Education,Esther Kamau,14,active,2023-07-16
de046c82-323a-44d9-4bbd-387ca8ad5f7b,ramco-printing,C-8365,Hazina Insurance,Manufacturing,David Mutiso,30,active,2023-07-16
273f0a46-b0e0-15e4-2eea-537dd458199d,ramco-printing,C-5880,Nyali Insurance,Education,Winnie Mutiso,30,active,2022-10-25
61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,ramco-printing,C-2002,Upendo Financial Services,Manufacturing,Winnie Kariuki,30,active,2020-08-17
b5c603f1-af1d-e19b-df98-e35de2c28820,ramco-printing,C-2864,Taifa Financial Services,Insurance,Esther Odhiambo,14,active,2024-03-28
